City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,panvel,18.9833,73.1,299.19,69,4,0.9,IN,1680554659
344,scarborough,54.2797,-0.4044,277.68,85,20,3.13,GB,1680554659
345,spirit river,55.7833,-118.8361,273.39,64,67,1.97,CA,1680554591
346,burns lake,54.2331,-125.7533,274.83,57,84,1.37,CA,1680554409
347,bosaso,11.2842,49.1816,300.9,74,8,1.16,SO,1680554659
348,hamilton,39.1834,-84.5333,295.92,57,0,5.14,US,1680554659
349,bindura,-17.3019,31.3306,289.32,86,58,0.7,ZW,1680554660
350,vila franca do campo,37.7167,-25.4333,287.38,75,69,2.73,PT,1680554660
351,esperantinopolis,-4.8667,-44.7083,296.93,96,77,0.77,BR,1680554661
352,northam,51.0333,-4.2167,279.6,86,23,4.12,GB,1680554661
353,fernie,49.5,-115.0687,274.53,58,100,1.27,CA,1680554661
354,san fernando,15.0286,120.6898,300.0,84,81,2.28,PH,1680554661
355,ponezhukay,44.8876,39.3855,282.5,93,66,1.41,RU,1680554662
356,ibra,22.6906,58.5334,296.18,34,3,2.48,OM,1680554662
357,chuy,-33.6971,-53.4616,290.91,74,99,2.05,UY,1680554662
358,wajima,37.4,136.9,282.49,75,5,2.59,JP,1680554662
359,stonewall,50.1344,-97.3268,268.72,84,100,5.85,CA,1680554663
360,flobecq,50.7526,3.7315,278.61,66,0,3.97,BE,1680554663
361,sompeta,18.9333,84.6,299.41,88,35,5.34,IN,1680554663
362,agadir,30.4202,-9.5982,291.4,62,0,1.88,MA,1680554663
363,airai,-8.9266,125.4092,287.26,87,99,0.91,TL,1680554663
364,hasaki,35.7333,140.8333,278.83,57,0,4.89,JP,1680554663
365,zalantun,48.0,122.7167,271.39,26,72,6.97,CN,1680554663
366,banepa,27.6298,85.5214,286.55,82,20,1.54,NP,1680554664
